OBJECT_TYPE	BUSINESS_TYPE	DEXT	DISPLAY	UPPER_LEVEL_NAMING
AIRBUS_E_VPMReference_LowerLevel	Master Geometry	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Master Geometry	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Master Geometry	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Master Geometry	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Master Geometry	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Refer To	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	FALSE	
AIRBUS_E_VPMReference_LowerLevel	Refer To	AIRBUS_E_DEXT_BOMReference	FALSE	
AIRBUS_E_VPMReference_LowerLevel	Refer To	AIRBUS_E_DEXT_EPASSY	FALSE	
AIRBUS_E_VPMReference_LowerLevel	Refer To	AIRBUS_E_DEXT_ValidationDate	FALSE	
AIRBUS_E_VPMReference_LowerLevel	Refer To	AIRBUS_E_DEXT_ReferenceStatus	FALSE
AIRBUS_E_VPMReference_LowerLevel	Refer To	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_BusinessType	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_Identification	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_RPTech	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	SAM	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_BusinessType	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_Identification	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_RPTech	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Extended Item	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
ElectricalGeometry	Electrical Geometry	AIRBUS_E_DEXT_Identification	TRUE	
ElectricalGeometry	Electrical Geometry	AIRBUS_E_DEXT_BusinessType	TRUE	
ElectricalGeometry	Electrical Geometry	AIRBUS_E_DEXT_ValidationDate	TRUE	
ElectricalGeometry	Electrical Geometry	AIRBUS_E_DEXT_EPASSY_COMMON_DEV	TRUE	
ElectricalGeometry	Electrical Geometry	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
ElectricalGeometry	Electrical Geometry	AIRBUS_E_DEXT_ENVCAT	TRUE
ElectricalBranchGeometry	Electrical Branch Geometry	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
ElectricalBranchGeometry	Electrical Branch Geometry	AIRBUS_E_DEXT_Identification	TRUE	
ElectricalBranchGeometry	Electrical Branch Geometry	AIRBUS_E_DEXT_BusinessType	TRUE	
ElectricalBranchGeometry	Electrical Branch Geometry	AIRBUS_E_DEXT_ValidationDate	TRUE	
ElectricalBranchGeometry	Electrical Branch Geometry	AIRBUS_E_DEXT_EPASSY_COMMON_DEV	TRUE	
SpotFastenerAssy	Fastener Specific Stacking	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_M_DEXT_VUVB	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_EPASSY_COMMON_DEV	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_Identification	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_BusinessType	TRUE	
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_EPASSY_COMMON_ADAP	TRUE
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_ENVCAT	TRUE
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_DDeVDerivedFrom	TRUE
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_DDeVManual	TRUE
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_DDeVType	TRUE
AIRBUS_E_VPMReference_LowerLevel	EHI	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
Electrical3DSystem	Electrical Physical System	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
Electrical3DSystem	Electrical Physical System	AIRBUS_E_DEXT_BusinessType	TRUE	
Electrical3DSystem	Electrical Physical System	AIRBUS_E_DEXT_Identification	TRUE	
Electrical3DSystem	Electrical Physical System	AIRBUS_E_DEXT_EPASSY_COMMON_DEV	TRUE	
Electrical3DSystem	Electrical Physical System	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_EPASSY	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_ValidationDate	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_BusinessType	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_RPTech	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_Identification	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_Domestic	FALSE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_EPASSY_PRE_POST_COMMON_ADAP	TRUE	
AIRBUS_E_VPMReference_LowerLevel	Dummy Non 3D CAD	AIRBUS_E_DEXT_EM_ADAP_DS	TRUE	
Drawing	Drawing	AIRBUS_E_DEXT_ValidationDate	TRUE	
Drawing	Drawing	AIRBUS_E_DEXT_RPTech	TRUE	
Drawing	Drawing	AIRBUS_E_DEXT_Identification	TRUE	
Drawing	Drawing	AIRBUS_E_DEXT_BusinessType	TRUE	
Drawing	Drawing	AIRBUS_E_DEXT_ReferenceStatus	TRUE	
Drawing	Drawing	AIRBUS_E_DEXT_EPASSY	TRUE
