BUSINESS_TYPE	SUBTYPE	SUBTYPE_PATTERN	PARENT_BUSINESS_TYPE	PARENT_TYPE	RESTRICTED_PARENT_BT	USE_NAMING_RULE	SUBTYPE_DESC	PARENT_SUBTYPE	CHECK_PARENT_APN
Storable Assembly	Composites_Sub_assembly	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Storable Assembly	Composites_Sub_assembly	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Storable Assembly	StorableAssembly	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
Storable Assembly	StorableAssembly	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Storable Assembly	StorableAssembly	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
Storable Assembly	WeldedPart	[A-Z0-9]{6}G[0-9]{4}[A-Z0-9]{4}	EM	NA	NA	NO	NA	NA	NO
Storable Assembly	WeldedPart	[A-Z0-9]{6}G[0-9]{4}[A-Z0-9]{4}	Storable Assembly	NA	NA	NO	NA	NA	NO
Storable Assembly	WeldedPart	[A-Z0-9]{6}G[0-9]{4}[A-Z0-9]{4}	Specialized Item	NA	NA	NO	NA	NA	NO
FTA	NA	[A-Z0-9]{15}-FTA(00[1-9]|[0-9][1-9][0-9]|[1-9]0[0-9])	EM	NA	NA	YES	NA	NA	NO
FTA	NA	[A-Z0-9]{15}-FTA(00[1-9]|[0-9][1-9][0-9]|[1-9]0[0-9])	Elementary Part	NA	NA	YES	NA	NA	YES
FTA	NA	[A-Z0-9]{15}-FTA(00[1-9]|[0-9][1-9][0-9]|[1-9]0[0-9])	Storable Assembly	NA	NA	YES	NA	NA	YES
FTA	NA	[A-Z0-9]{15}-FTA(00[1-9]|[0-9][1-9][0-9]|[1-9]0[0-9])	Project Definition	NA	NA	YES	NA	IFA	YES
FTA	NA	[A-Z0-9]{15}-[A-Z0-9]{6}-FTA(00[1-9]|[0-9][1-9][0-9]|[1-9]0[0-9])	Specialized Item	NA	NA	YES	NA	NA	YES
Specialized Item	DesignSpaceAllocationforStructure	[A-Z0-9]{15}-DSA/d{3}	EM	NA	NA	YES	NA	NA	NO
Specialized Item	DesignSpaceAllocationforStructure	[A-Z0-9]{15}-DSA/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	DesignSpaceAllocationforEquipment	[A-Z0-9]{15}-ESA/d{3}	EM	NA	NA	YES	NA	NA	NO
Specialized Item	DesignSpaceAllocationforEquipment	[A-Z0-9]{15}-ESA/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	MaintainabilitySpaceAllocation	[A-Z0-9]{15}-MSA/d{3}	EM	NA	NA	YES	NA	NA	NO
Specialized Item	MaintainabilitySpaceAllocation	[A-Z0-9]{15}-MSA/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	VirtualSpaceAllocation	[A-Z0-9]{15}-VSA/d{3}	EM	NA	NA	YES	NA	NA	NO
Specialized Item	VirtualSpaceAllocation	[A-Z0-9]{15}-VSA/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	SweptVolume	[A-Z0-9]{15}-SWV/d{3}	EM	NA	NA	YES	NA	NA	NO
Specialized Item	SweptVolume	[A-Z0-9]{15}-SWV/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	SafetySpaceAllocation	[A-Z0-9]{15}-SSA/d{3}	EM	NA	NA	YES	NA	NA	NO
Specialized Item	SafetySpaceAllocation	[A-Z0-9]{15}-SSA/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	ProductionSpaceAllocation	[A-Z0-9]{15}-PSA/d{3}	EM	NA	NA	YES	NA	NA	NO
Specialized Item	ProductionSpaceAllocation	[A-Z0-9]{15}-PSA/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	cProtectionorInterfayusingProtectiveTreatmentCode	[A-Z0-9]{15}-PI(([0-9][0-9][0-9][1-9])|([0-9][1-9][0-9][0])|([0-9][0-9][1-9][0])|([1-9][0]{3}))	EM	NA	NA	YES	NA	NA	NO
Specialized Item	cProtectionorInterfayusingProtectiveTreatmentCode	[A-Z0-9]{15}-PI(([0-9][0-9][0-9][1-9])|([0-9][1-9][0-9][0])|([0-9][0-9][1-9][0])|([1-9][0]{3}))	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	DocumentLocation	[A-Z0-9]{15}-LOC(([0-9]{2}[1-9])|([1-9][0-9]0)|([0-9][1-9]0))	Dummy Non 3D CAD	NA	NA	YES	NA	NA	YES
Specialized Item	ExtendedWelding	[A-Z0-9]{15}-WDG(([0-9][0-9][1-9])|([1-9][0-9][0-9])|([0-9][1-9][0-9]))	Storable Assembly	NA	NA	YES	NA	NA	YES
Specialized Item	cSimpleAlternative	[A-Z0-9]{15}-CSA(([0-9][0-9][1-9])|([0-9][1-9][0-9])|([1-9][0-9][0-9]))	EM	NA	NA	YES	NA	NA	NO
Specialized Item	cComplexAlternative	[A-Z0-9]{15}-CCA(([0-9][0-9][1-9])|([0-9][1-9][0-9])|([1-9][0-9][0-9]))	EM	NA	NA	YES	NA	NA	NO
Specialized Item	ExtendedSimpleAlternative	[A-Z0-9]{6}E[0-9]{4}[A-Z0-9]{4}-EXA(([0-9][0-9][1-9])|([0-9][1-9][0-9])|([1-9][0-9][0-9]))	Storable Assembly	NA	NA	YES	NA	NA	YES	
Extended Item	CuttingItem	.+-CUT/d{3}	Elementary Part	NA	NA	YES	NA	NA	YES
Extended Item	CuttingItem	.+-CUT/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
Extended Item	MarkingcontainerfollowingABD0003	.+-MKG/d{3}	Elementary Part	NA	NA	YES	NA	NA	YES
Extended Item	MarkingcontainerfollowingABD0003	.+-MKG/d{3}	Storable Assembly	NA	NA	YES	NA	NA	YES
